"Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Vorticity: Magnitude (/s)","Vorticity[i] (/s)","Vorticity[j] (/s)","Vorticity[k] (/s)","Total Pressure (Pa)","Static Pressure (Pa)","Q-Criterion (/s^2)","Relative Total Pressure (Pa)","Pressure (Pa)","Mass Flow Rate (kg/s)","Mass Flux (kg/m^2-s)","Normal: Magnitude","Normal[i]","Normal[j]","Normal[k]","Centroid: Magnitude (m)","Centroid[X] (m)","Centroid[Y] (m)","Centroid[Z] (m)","Density (kg/m^3)","Area: Magnitude (m^2)","Area[i] (m^2)","Area[j] (m^2)","Area[k] (m^2)","Absolute Total Pressure (Pa)","Absolute Pressure (Pa)","X (m)","Y (m)","Z (m)"
20.537802096817831,20.537426133251902,-0.12349261439794645,0.013869515706497925,1316.0682907080582,-367.80331865263656,1263.62295347945,3.6736950347980146,101574.7380135597,101325,-39608.36881707987,101574.7380135597,101325,0.00010133349742941404,-24.320039383059324,1,1,0,0,5.3774622915409127,5,1.9791666666666665,5.0000000000000002e-05,1.18415,4.1666666666666745e-06,4.1666666666666745e-06,0,0,202899.73801355972,202650,5,1.9791666666666665,5.0000000000000002e-05
21.818072334502755,20.875407816053801,6.3439438376535442,0.0023434444800559465,14934.001132832371,14542.714526332571,3396.1471043280967,5.3746439940580739,101606.84444411403,101325,-887.43689556419849,101606.84444411403,101325,0.00010299675833288835,-24.719221999893158,1,1,0,0,5.3622668949335219,5,1.9375,5.0000000000000002e-05,1.18415,4.1666666666666745e-06,4.1666666666666745e-06,0,0,202931.84444411402,202650,5,1.9375,5.0000000000000002e-05
20.721131003646242,20.720933849203114,-0.086229431231258785,0.027110374540498555,2205.0912578161224,-301.82474825106516,2184.32883505778,-6.0676993490652285,101579.21644227685,101325,-11881.940238276264,101579.21644227685,101325,0.00010317500067078557,-24.537229766670851,1,1,0,0,5.3774622934133216,5,1.9791666666666665,0.00015045801909273181,1.18415,4.2048349243943235e-06,4.2048349243943235e-06,0,0,202904.21644227684,202650,5,1.9791666666666665,0.00015045801909273181
21.918101394802356,21.017500651470684,6.2183466254233197,0.00060361637729500781,31649.651708537156,31434.05710651998,-3687.8851454988044,3.2014619990578326,101609.43470613933,101325,949.51303201913834,101609.43470613933,101325,0.00010370104472604488,-24.888250734250857,1,1,0,0,5.3473529928627093,5,1.8958333333333333,5.0000000000000002e-05,1.18415,4.1666666666666525e-06,4.1666666666666525e-06,0,0,202934.43470613932,202650,5,1.8958333333333333,5.0000000000000002e-05
21.493057514606125,21.214317919895333,3.4502501106440544,0.003270133821649447,26920.134188473425,24036.765456235811,12121.366423253359,-2.6759205370700716,101598.50994698919,101325,8390.9696851670742,101598.50994698919,101325,0.00010562754294983698,-25.120496963397887,1,1,0,0,5.3622668968112368,5,1.9375,0.00015045801909273181,1.18415,4.2048349243943235e-06,4.2048349243943235e-06,0,0,202923.50994698919,202650,5,1.9375,0.00015045801909273181
20.981789349737056,20.981663028932765,-0.062291151733130719,0.037691769274160666,2183.1424977428046,-122.91801698440371,2179.6681120473777,-7.0176830317411767,101585.65242437684,101325,-3281.5342493879143,101585.65242437684,101325,0.00010637835926854692,-24.845926806987094,1,1,0,0,5.3774622972269039,5,1.9791666666666667,0.00025229429109344429,1.18415,4.2815210756650673e-06,4.2815210756650673e-06,0,0,202910.65242437684,202650,5,1.9791666666666667,0.00025229429109344429
22.054634533358143,21.155267345941422,6.2339047082263068,-0.00010243055854789444,42041.904986064772,27682.152563386877,-31642.063585335804,4.0467563746057573,101612.98936792262,101325,229.72241985797882,101612.98936792262,101325,0.00010437977252661334,-25.051145406387157,1,1,0,0,5.3327229470766415,5,1.8541666666666665,5.0000000000000002e-05,1.18415,4.1666666666666745e-06,4.1666666666666745e-06,0,0,202937.98936792262,202650,5,1.8541666666666665,5.0000000000000002e-05
20.526160257504905,20.525579187940544,0.15443572932988928,-0.0018766625115388352,35654.5398860071,30664.839810647863,18190.895407586329,-71.68082331792624,101574.45496615485,101325,251.02871018648148,101574.45496615485,101325,0.00010220194385620605,-24.305815969916594,1,1,0,0,5.3473529947456617,5,1.8958333333333333,0.00015045801909273181,1.18415,4.2048349243943015e-06,4.2048349243943015e-06,0,0,202899.45496615485,202650,5,1.8958333333333333,0.00015045801909273181
23.382387117970111,23.335025182959001,1.4874895989441588,0.0013184524269650769,20534.295136476674,14036.341862814423,14987.873935065383,44.930710217275909,101648.70873338415,101325,7115.9973107725382,101648.70873338415,101325,0.00011830587489437987,-27.631739469133159,1,1,0,0,5.3622669006356265,5,1.9374999999999998,0.00025229429109344429,1.18415,4.2815210756650665e-06,4.2815210756650665e-06,0,0,202973.70873338415,202650,5,1.9374999999999998,0.00025229429109344429
21.162712017604008,21.162584717357948,-0.060619733569164606,0.041391648807038856,1245.1438765701023,21.286824478392244,1244.8797101981222,-14.305649257800749,101590.16693445299,101325,-473.61285083479015,101590.16693445299,101325,0.00011020019815541457,-25.060150685148777,1,1,0,0,5.3774623031217157,5,1.9791666666666667,0.00035644167514031549,1.18415,4.3974275949075496e-06,4.3974275949075496e-06,0,0,202915.16693445301,202650,5,1.9791666666666667,0.00035644167514031549
